author,title,book_url,authors_names_on_site,language
Айгиз Баймөхәмәтов,Башланмыш,https://kitaptar.bashkort.org/book/566,Айгиз Ғиззәт улы Баймөхәмәтов ,Башкирский
Айгиз Баймөхәмәтов,Тирә-йүн менән танышам,https://kitaptar.bashkort.org/book/892,Баймөхәмәтов Айгиз,Башкирский
Айгиз Баймөхәмәтов,"Ҡалдырма, әсәй!",https://kitaptar.bashkort.org/book/10,Айгиз Ғиззәт улы Баймөхәмәтов ,Башкирский
Ағиш Ғирфанов; Миҙхәт Ғәйнуллин; Мостай Кәрим,БАШКОРТ  ДРАМАТУРГИЯҺЫ  АНТОЛОГИЯҺЫ,https://kitaptar.bashkort.org/book/133,"Агиш Ғирфанов, Миҙхәт Ғәйнуллин, Мостай Кәрим, Әсғәт Мирзаһитов, Ғилемдар Рамазанов",Башкирский
Ағиш Ғирфанов; Миҙхәт Ғәйнуллин; Мостай Кәрим,ИЗ ИСТОРИИ РУССКО-БАШКИРСКИХ ЯЗЫКОВЫХ КОНТАКТОВ,https://kitaptar.bashkort.org/book/871,"Агиш Ғирфанов, Миҙхәт Ғәйнуллин, Мостай Кәрим, Әсғәт Мирзаһитов, Ғилемдар Рамазанов",Русский
Булат Рафиҡов,Древние арии и вечный Курдистан. Москва. 2007,https://kitaptar.bashkort.org/book/1524,Булат Рафиков,Русский
Булат Рафиҡов,Ҡараһаҡал,https://kitaptar.bashkort.org/book/369,Рафиков Булат,Башкирский
Гөлнур Яҡупова,Ҡатындар. Ҡыҙ бала. (Трилогия. Беренсе китап),https://kitaptar.bashkort.org/book/141,Ғөлнур Яҡупова,Башкирский
Гөлнур Яҡупова,Ҡыҙыҡлы осрашыуҙар,https://kitaptar.bashkort.org/book/888,Ғөлнур Яҡупова,Башкирский
Гөлсирә Гиззәтуллина; Гөлсирә Ғиззәтуллина,Ҡарт менән диңгеҙ,https://kitaptar.bashkort.org/book/531,Гөлсирә Ғиззатуллина ,Башкирский
Денис Бүләков; Динис Бүләков,Новый взгляд на историю народов Урала и Поволжья,https://kitaptar.bashkort.org/book/1128,Динис БҮЛӘКОВ,Башкирский
Зиннур Ураҡсин,Башҡорт теле һәм әҙәбиәте,https://kitaptar.bashkort.org/book/1328,Зиннур Ураҡсин,Башкирский
Зиннур Ураҡсин,ТЕЛЕМ МИНЕҢ - ЯҘМЫШЫМ,https://kitaptar.bashkort.org/book/1298,Зиннур Ураҡсин,Башкирский
Зиннур Ураҡсин,"Фразеология башкирского языка. - М., Наука, 1975",https://kitaptar.bashkort.org/book/5037,"Ураксин Зинур Газизович, ТЕНИШЕВ Э.Р.",Башкирский
Зиннур Ураҡсин,Ҡарат,https://kitaptar.bashkort.org/book/249,Зиннур Ураҡсин,Башкирский
Зиннур Ураҡсин,Ҡарат,https://kitaptar.bashkort.org/book/789,Зиннур Ураҡсин,Башкирский
Зиннур Ураҡсин; Рөстәм Зарипов; Сабир Шәрипов,"Башҡорт халыҡ ижады. Өсөнсө том. Эпос. — Өфө: Башҡортостан «Китап» нәшриәте, 1998. — 448 бит.",https://kitaptar.bashkort.org/book/5254,"Ахмет Сулейманов, Кадим Аралбаев, Рауил Бикбаев, Наиль Бикбулатов, Салават Галин, Нур Зарипов, Фануза Надршина, Зиннур Ураксин, Сабир Шарипов, Гайса Хусаинов",Башкирский
