№,Автор,Название стихотворения,Возрастная группа,URL
1,Мостай Кәрим,Ҡайын япрағы тураһында,6-10 лет,https://www.youtube.com/watch?v=8dLracmXur0
2,Рәми Ғарипов,Курай,16 - 25 лет,https://www.youtube.com/watch?v=AZAXJUiQgL8
3,Мостай Кәрим,Билдәһеҙ һалдат,6-10 лет,https://www.youtube.com/watch?v=sOzaBXeWnyo
4,Мостай Кәрим,Ләйсән ямғыры,11-15 лет,https://www.youtube.com/watch?v=mvnxgUZd13k
5,Абдулхаҡ Игебаев,Гумер юлы,старше 25 лет,https://www.youtube.com/watch?v=shdMjhkYLOw
6,Фания Чанышева,Ана хаты,старше 25 лет,https://www.youtube.com/watch?v=rNvo6T5L9ns
7,Кадим Аралбай,Башкортостан— аҡ тирмәләр иле,11-15 лет,https://www.youtube.com/watch?v=qq7qzqlPIro
8,Аҡмулла,"Башҡорттарым уҡыу кәрәк, уҡыу кәрәк",6-10 лет,https://www.youtube.com/watch?v=RLbxvHBLNUA
9,Эдгар Вильданов,Театр,старше 25 лет,https://www.youtube.com/watch?v=7uc6EQqSblw
10,Р.Ниғмәти,Нимә ул Ватан?,6-10 лет,https://www.youtube.com/watch?v=d-spA0y9co8
11,Ф.Туғыҙбаева,Әсә зары,6-10 лет,https://www.youtube.com/watch?v=Suy1q8CgePs
12,Сафуан Әлибаев,Турғай,6-10 лет,https://www.youtube.com/watch?v=l9mhfggFyW8
13,Ф.Туғыҙбаева,Кремль,6-10 лет,https://www.youtube.com/watch?v=TQK_4dYgVk8
14,Ф.Туғыҙбаева,Кремль,6-10 лет,https://www.youtube.com/watch?v=HeCsOwKHX4g
15,Равиль Нигматуллин,Тыуған ерем,11-15 лет,https://www.youtube.com/watch?v=ou8QNAtj5bc
16,Кәтибә Кинйәбулатова,Өҙөлгән сәскә үҫмәй,6-10 лет,https://www.youtube.com/watch?v=T7LWzvLZ_qw
17,Назар Нажми,Ватан,6-10 лет,https://www.youtube.com/watch?v=XNQPrePbYpg
18,Рәсимә Ураҡсина,Йыхандагы бишегем,6-10 лет,https://www.youtube.com/watch?v=zwtXBXSYcMM
19,Рәми Ғарипов,Тыуған тел,6-10 лет,https://www.youtube.com/watch?v=G2LXQDUvhmk
20,З. Кутлугильдина,Олатайым ветеран,6-10 лет,https://www.youtube.com/watch?v=-DpdHrjzGZs
21,Мостай Кәрим,"Тупрағым, һауам, һыуҙарым",11-15 лет,https://www.youtube.com/watch?v=ZV8oaegifyI
22,Рафаэль Сафин,Ҡыр ҡаҙҙары,11-15 лет,https://www.youtube.com/watch?v=AXBgRZxT0a4
23,Руфина Байназарова,Мин үҙемде яратам,0-5 лет,https://www.youtube.com/watch?v=0PFUtIjRgTI
24,Мостай Кәрим,Сәсән,старше 25 лет,https://www.youtube.com/watch?v=ixj_ACe-DxA
25,Рәми Ғарипов,Тыуған тел,старше 25 лет,https://www.youtube.com/watch?v=urV2KOLtR0c
26,Мостай Кәрим,Ҡабаланма ҡартлыҡ,старше 25 лет,https://www.youtube.com/watch?v=CeGNiryY0HM
27,Рафаэль Сафин,Ҡыр ҡаҙҙары,старше 25 лет,https://www.youtube.com/watch?v=ihq1DxbWpZs
28,М. Иксанов,Усым,старше 25 лет,https://www.youtube.com/watch?v=1WsjmIcXcfw
29,Баязит Бикбай,Туган тел,старше 25 лет,https://www.youtube.com/watch?v=t48C-O6qMw0
30,Мостай Кәрим,Билдәһеҙ һалдат,6-10 лет,https://www.youtube.com/watch?v=zXFN3HjLwCo
31,Кәтибә Кинйәбулатова,Әсә күңеле,6-10 лет,https://www.youtube.com/watch?v=g7TR-dHLJvk
32,Мостай Кәрим,Әнием чирләгәндә,16-25 лет,https://www.youtube.com/watch?v=8r4h35I1_T8
33,Мостай Кәрим,Өсөнсө көн тоташ ҡар яуа,11-15 лет,https://www.youtube.com/watch?v=kzWEwxnqzFo
34,Әсхәт Әхмәл-Хужа,Әсәйемә,16-25 лет,https://www.youtube.com/watch?v=mbHtVK3Q3P0
35,Мостай Кәрим,Ҡайын япрағы тураһында,старше 25 лет,https://www.youtube.com/watch?v=s-dwFztZHl8
36,Вахитова Светлана,Билдәһеҙ һалдат ҡәбере,старше 25 лет,https://www.youtube.com/watch?v=1-oumalbBJs
37,Мәүлит Ямалетдин,Туғыҙынсы май,старше 25 лет,https://www.youtube.com/watch?v=rhkopKmRoVw
38,Мәлих Харис,Хат,старше 25 лет,https://www.youtube.com/watch?v=XckB7xn0MB4
39,Мостай Кәрим,Билдәһеҙ һалдат,,https://www.youtube.com/watch?v=P_WITausxzw
40,Вахитова Светлана,Билдәһеҙ һалдат ҡәбере,,https://www.youtube.com/watch?v=SXZFwFnEpXs
41,Баязит Бикбай,Ер (отрывок из поэмы),старше 25 лет,https://www.youtube.com/watch?v=uzvIFLmp33M
42,Салауат Юлаев,Тыуған ил,16-25 лет,https://www.youtube.com/watch?v=NtzNosRog4Q
43,Шәихзада Бабич,Халҡым өсөн,старше 25 лет,https://www.youtube.com/watch?v=YrZLcjzdZNQ
44,Мостай Кәрим,Уҡытыусыма,6-10 лет,https://www.youtube.com/watch?v=qwrM6mpjLOM
45,Мостай Кәрим,Ҡыш килгәс,6-10 лет,https://www.youtube.com/watch?v=-koXswSvSmg
46,Зәйнәб Биишева,Башҡорт теле,6-10 лет,https://www.youtube.com/watch?v=dI1d2Q_Ea1s
47,Лилия Сакмар,Батырлык,старше 25 лет,https://www.youtube.com/watch?v=k_Curp11exk
48,Гүзәл Ситдиҡова,Ғаилә байрамы,6-10 лет,https://www.youtube.com/watch?v=1QIjcEFDFF4
49,Фәүзиә Рәхимғолова,Олатайым,0-5 лет,https://www.youtube.com/watch?v=CFcbCLGcfNg
50,Рәми Ғарипов,Сыйырсыҡ,6-10 лет,https://www.youtube.com/watch?v=3dK3-g-xQlM
51,Зульфия Ханнанова,Мин иланым,старше 25 лет,https://www.youtube.com/watch?v=hekZjWMujyM
52,Салавата Абузара,Уфа,11-15 лет,https://www.youtube.com/watch?v=h14-4FIehF4
53,Фәүзиә Рәхимғолова,Матур менән көслө,6-10 лет,https://www.youtube.com/watch?v=wmVmGZA3BKc
54,Гульфия Юнусова,Башкортостан,6-10 лет,https://www.youtube.com/watch?v=WwEI1-K79N4
55,Зәйнәб Биишева,Башҡорт теле,старше 25 лет,https://www.youtube.com/watch?v=bKsjwHEQUyA
56,Рәсимә Ураҡсина,Башкортостан - баш илем,6-10 лет,https://www.youtube.com/watch?v=mfpeu02EXH8
57,Рәми Ғарипов,Яндырылған хаттар,5-10 лет,https://www.youtube.com/watch?v=Z2sAYO21Dmw
