№,Автор,Название стихотворения,Возрастная группа,URL
1,Равиль Бикбаев,Ты древо рода чти…,старше 25 лет,https://www.youtube.com/watch?v=RQMpa52xuAg
2,Мустай Карим,Я белый лист кладу перед собой…,старше 25 лет,https://www.youtube.com/watch?v=lUSOIw6kCpw
3,Мустай Карим,Эту песню мать мне пела,6-10 лет,https://www.youtube.com/watch?v=2GfadeuKLzQ
4,Мустай Карим,В городе далёком,старше 25 лет,https://www.youtube.com/watch?v=nImb6nQbkoU
5,Айдар Хусаинов,Кошка Маша и манная каша,0-5 лет,https://www.youtube.com/watch?v=8QgsZEdNLQE
6,Мустай Карим,"Нерусский я, но россиянин",старше 25 лет,https://www.youtube.com/watch?v=jZ6dE5Mt-AM
7,Равиль Бикбаев,Жажду – дайте воды! (отрывок из поэмы),11-15 лет,https://www.youtube.com/watch?v=rA41n5DF0Mg
8,Мустай Карим,О берёзовом листе,6-10 лет,https://www.youtube.com/watch?v=jd0axgWGn3M
9,Мустай Карим,"Подует ветер, и все больше листьев…",11-15 лет,https://www.youtube.com/watch?v=Urmm6KxtjW0
10,Урал Кулушев,Родник и соловей,старше 25 лет,https://www.youtube.com/watch?v=S-ExTzarf4o
11,Мустай Карим,"Не русский я, но россиянин… (отрывок)",11-15 лет,https://www.youtube.com/watch?v=1kQon6BOnGo
12,Мустай Карим,Белый пароход,старше 25 лет,https://www.youtube.com/watch?v=ZsJXKP1qDCc
13,Рами Гарипов,Родной язык,6-10 лет,https://www.youtube.com/watch?v=d_di9CblPaw
14,Мустай Карим,Березовый листок,6-10 лет,https://www.youtube.com/watch?v=HYHNFtTgSnI
15,Мустай Карим,Эту песню мать мне пела,6-10 лет,https://www.youtube.com/watch?v=yQuD1yIZb4Y
16,Мустай Карим,Я - Россиянин,16-25 лет,https://www.youtube.com/watch?v=0SsfWPuwfUM
17,Зайнаб Биишева,Башкирский язык,16-25 лет,https://www.youtube.com/watch?v=AXLlUQc_Uhg
18,Мустай Карим,Повезло,старше 25 лет,https://www.youtube.com/watch?v=HelyY8-R6tE
19,Мустай Карим,Лунная дорога,16-25 лет,https://www.youtube.com/watch?v=iutepw0EK-8
20,Мустай Карим,Стих о войне,старше 25 лет,https://www.youtube.com/watch?v=JVcYVJn0Nmg
21,Любовь Афлятунова,Мне уголок России судьбой навеки дан…,6-10 лет,https://www.youtube.com/watch?v=lVJjAycM0Iw
22,Мустай Карим,Так начинается жизнь,11-15 лет,https://www.youtube.com/watch?v=wLdSIx22IpM
23,Мустай Карим,Эту песню мать мне пела,старше 25 лет,https://www.youtube.com/watch?v=BoOnrQm16YM
24,Мустай Карим,Лунная дорога,старше 25 лет,https://www.youtube.com/watch?v=vqkaq73jPJA
25,Аминева Гюзель,Уфа – наша столица,6-10 лет,https://www.youtube.com/watch?v=0Bk6Fit-xjA
26,Абдулхак Игебаев,Сердце матери,0-5 лет,https://www.youtube.com/watch?v=Y2mORLpeXHQ
27,М. Карим,О березовом листе,,https://www.youtube.com/watch?v=Qof5KssxUZU
