author,book,records
"""Ашҡаҙар"" радиоһы","Ашҡаҙар_радиоһы_Мөхтәр_Сабитов_Тәүге_эш_хаҡы,_Фаяз_Солтанов_уҡый",1
"""Аҡҡош ауазы""",Аҡҡош_ауазы_Сәлимйән_Бәҙретдинов_1_се_тапшырыу,1
"""Аҡҡош ауазы""",Аҡҡош_ауазы_Сәлимйән_Бәҙретдинов_2_се_тапшырыу,1
Cтепан Злобин,"Cтепан_Злобин_Cалауат_Юлаев_1_се_бүлек_Олег_Ханов_уҡый,_1987",1
Cтепан Злобин,"Cтепан_Злобин_Cалауат_Юлаев_2_се_бүлек_Олег_Ханов_уҡый,_1987",1
Cтепан Злобин,"Cтепан_Злобин_Cалауат_Юлаев_3_се_бүлек_Олег_Ханов_уҡый,_1987",1
Cтепан Злобин,"Cтепан_Злобин_Cалауат_Юлаев_4_се_бүлек_Олег_Ханов_уҡый,_1987",1
Cтепан Злобин,"Cтепан_Злобин_Cалауат_Юлаев_5_се_бүлек_Олег_Ханов_уҡый,_1987",1
Cтепан Злобин,"Cтепан_Злобин_Cалауат_Юлаев_6_сы_бүлек_Олег_Ханов_уҡый,_1987",1
Cтепан Злобин,"Cтепан_Злобин_Cалауат_Юлаев_7_се_бүлек_Олег_Ханов_уҡый,_1987",1
Cтепан Злобин,"Cтепан_Злобин_Cалауат_Юлаев_8_се_бүлек_Олег_Ханов_уҡый,_1987",1
Авзал Кинйәбаев,"Авзал_Кинйәбаев_Ҡойола_умырзая_Хәмит_Яруллин_уҡый,_1987",1
"Автор уҡый, 2010 йылғы яҙма","Автор_уҡый,_2010_йылғы_яҙма_Рәсүл_Сәғитов_Уй_туйы",1
"Автор уҡый, 2015 йылғы яҙма.","Автор_уҡый,_2015_йылғы_яҙма_Сабир_Шәрипов_Юл_хикмәттәре",1
Азамат Ҡәҙерғолов,",,Бүре,,",1
Азамат Ҡәҙерғолов,"Азамат_Ҡәҙерғолов_Илек_бүләге_Әхтәм_Абушахманов_уҡый,_1994",1
Азамат Ҡәҙерғолов,"Азамат_Ҡәҙерғолов_Иҫке_күпер_Әхтәм_Абушахманов_уҡый,_1994",1
Азамат Ҡәҙерғолов,"Азамат_Ҡәҙерғолов_Үгәй_атай_Әхтәм_Әбүшаһманов,_1994",1
Александр Лизюков,"Александр_Лизюков_Комбриг_Мортазин_Рәфил_Нәбиуллин_уҡый,_2000",1
Алһыу Бәхтиева уҡыуында 2011 йылғы яҙма.,Алһыу_Бәхтиева_уҡыуында_2011_йылғы_яҙма_Миләүшә_Ғәйфуллина_Бөкө,1
Андрей Упит,"Андрей_Упит_Йәш_торна_Рифҡәт_Фәйзи_уҡый,_1967",1
Ағиш Ғирфанов,"Ағиш_Ғирфанов_Алтын_төлкө_Әхәт_Мортазин_уҡый,_1999",1
Ағиш Ғирфанов,"Ағиш_Ғирфанов_Ауылым_ауылдашым_Тимур_Муллабаев_уҡый,_1979",1
Ағиш Ғирфанов,"Ағиш_Ғирфанов_Күршеләр_Роза_Кәримова_уҡый,_1979",1
Барый Ноғоманов,"Барый_Ноғоманов_Бураҙналар_Марат_Рафиҡов_уҡый,_1976",1
Барый Ноғоманов,"Барый_Ноғоманов_Икеһенә_бер_гармун_Фаяз_Солтанов_уҡый,_2005",1
Барый Ноғоманов,"Барый_Ноғоманов_Ҡар_кешеһе_Әхәт_Мортазин_уҡый,_1998",1
Башҡорт радиокомпозициялар,"Башҡорт_радиокомпозициялар_Көҙгө_элегия,_радиокомпозиция_Илшат_Йомағолов",1
Башҡорт радиокомпозициялар,Башҡорт_радиокомпозициялар_Ҡыштың_илһамлы_мәлдәре_Наилә_Ғәләүетдинова,1
Башҡорт радиокомпозициялар,Башҡорт_радиокомпозициялар_Ҡышҡы_ауыл_Карам_Бакировтың_шиғырҙары,1
"Беҙ үлемдән көслөрәк. Жәүит Кузеев, Вәли Бикташев.","Беҙ_үлемдән_көслөрәк_Жәүит_Кузеев,_Вәли_Бикт_Тексты_Әхәт_Мортазин",1
Билгеһеҙ автор,",,Нәйлә,,_хикәйәһе_—_Без_названия_www_lightaudio_ru",1
Билгеһеҙ автор,1) ҡыҫыр ҡайнаға,1
Билгеһеҙ автор,1_Шамил_Хажиәхмәтов_Йәнтөйәккә_юл_хикәйәһе_1_се_ө,1
Билгеһеҙ автор,2) ҡыҫыр ҡайнаға,1
Билгеһеҙ автор,2_Шамил_Хажиәхмәтов_Йәнтөйәккә_юл_хикәйәһе_2_се_ө,1
Билгеһеҙ автор,3) ҡыҫыр ҡайнаға,1
Билгеһеҙ автор,3_Шамил_Хажиәхмәтов_Йәнтөйәккә_юл_хикәйәһе_3_сө_ө,1
Билгеһеҙ автор,80F4CE94290EAA85,1
Билгеһеҙ автор,_Туғайҙарҙа_турғай_Фәрзәнә_Аҡбулатова,1
Билгеһеҙ автор,A5DC79E39FCDEB18,1
Билгеһеҙ автор,«Егет егетлеген итә»,1
Билгеһеҙ автор,«Йыһандың бумеранг ҡануны»,1
Билгеһеҙ автор,"Азиз_Несин_Әҫәрҙәре_Хөрмәт_Бикҡолов_тәржемәһе,_Илшат_Йомағолов_менән",1
Билгеһеҙ автор,"ай""",1
Билгеһеҙ автор,Айгиз_Баймөхәммәтов_Урам_балалары_2_кисәк,1
Билгеһеҙ автор,"арса, башҡортса аудиокитабын табып булманы)",1
Билгеһеҙ автор,Ауыл адвокаттар,1
Билгеһеҙ автор,Ауыл адвокаттары,3
Билгеһеҙ автор,Ауыл адвокаттары.,1
Билгеһеҙ автор,ағайымдың гармуны,1
Билгеһеҙ автор,аҙашҡан бәхет,1
Билгеһеҙ автор,аҡ бейә аҙағы,1
Билгеһеҙ автор,аҡ бейә башы,1
Билгеһеҙ автор,аҡ бейә дауамы,1
Билгеһеҙ автор,бал тип үрелгәнем,1
Билгеһеҙ автор,Бер янылыш азым передача  3,1
Билгеһеҙ автор,Бер янылыш азым передача  4,1
Билгеһеҙ автор,Бер янылыш азым передача 1,1
Билгеһеҙ автор,Бер янылыш азым передача 2,1
Билгеһеҙ автор,бер ғүмер етмәй икән,4
Билгеһеҙ автор,бәхетле булығыҙ,1
Билгеһеҙ автор,гөлзифа,1
Билгеһеҙ автор,"Гөлнур_Яҡупова_—_,,Зөлфиә,,_хикәйәһе_www_lightaudio_ru",1
Билгеһеҙ автор,Динис_Бүләков_Оса_ҡыр_ҡаҙҙары_Хәким_Хәйретд,1
Билгеһеҙ автор,Динис_Исламов_Оҙатыу_Наилә_Ғәләүетдинова_уҡ,1
Билгеһеҙ автор,Дәүләт_Мәһәҙиев_Яҙмыш_ҡәләмдәрен_ҡулға_алып_5_се_өлөш_Әхәт_Мортазин,1
Билгеһеҙ автор,еҙ самауыр,1
Билгеһеҙ автор,зәңгәр яулыҡ,1
Билгеһеҙ автор,ике дауыт,1
Билгеһеҙ автор,Икебеҙ өсөн дә яраттым...,1
Билгеһеҙ автор,"иха"" хикәйәһе",1
Билгеһеҙ автор,ишек алдында 2,1
Билгеһеҙ автор,ишек алдында 3,1
Билгеһеҙ автор,ишек алдында 4,1
Билгеһеҙ автор,ишек алдында 5,1
Билгеһеҙ автор,ишек_алдында_фәрзәнә_аҡбулатова_1,1
Билгеһеҙ автор,йылы ямғыр,1
Билгеһеҙ автор,йыр дауам итә,1
Билгеһеҙ автор,йүләркәй,1
Билгеһеҙ автор,йәләлетдин атай,1
Билгеһеҙ автор,йәнкиҫәк,1
Билгеһеҙ автор,"Камил_Яйыҡбаев_—_Күңел_яраһы_Таңсулпан_Бабичева_уҡый,_1988_www_lightaudio",1
Билгеһеҙ автор,көҙгө күкрәү,1
Билгеһеҙ автор,мансаф ғиләжев юлда 1-се,1
Билгеһеҙ автор,мансаф ғиләжев юлда 2-се,1
Билгеһеҙ автор,мансаф ғиләжев юлда 3-се,1
Билгеһеҙ автор,"мансаф ғиләжев, юлда 4-се",1
Билгеһеҙ автор,март бураны,2
Билгеһеҙ автор,Мирас_Иҙелбаев_Иҙелйорт_2_се_өлөш_Олег_Ханов_уҡый,1
Билгеһеҙ автор,Мирас_Иҙелбаев_Иҙелйорт_3_сө_өлөш_Олег_Ханов_уҡый,1
Билгеһеҙ автор,Мирас_Иҙелбаев_Иҙелйорт_4_се_өлөш_Олег_Ханов_уҡый,1
Билгеһеҙ автор,"ни_тимәксе_инең,_рәмил_марсель_искәндәров_1_өлөш",1
Билгеһеҙ автор,"ни_тимәксе_инең,_рәмил_марсель_искәндәров_2_өлөш",1
Билгеһеҙ автор,"ни_тимәксе_инең,_рәмил_марсель_искәндәров_3_өлөш",1
Билгеһеҙ автор,"ни_тимәксе_инең,_рәмил_марсель_искәндәров_4_өлөш",1
Билгеһеҙ автор,"Нәжиә_Игеҙйәнова_,,Туй_күлдәге,,_Илһөйәр_Ғәзетдинова_уҡый_",1
Билгеһеҙ автор,"ов. ""Нурлы күҙҙәр"" әҫәре.",1
Билгеһеҙ автор,"ова, «Бүләк» әҫәре",1
Билгеһеҙ автор,онотолмаҫ көндәр,1
Билгеһеҙ автор,Риф_Мифтахов_Бәләкәй_әсирҙәр_Наилә_Ғәләүетдинова_менән_Әхәт_Мортазин,1
Билгеһеҙ автор,"Роберт_Байымов_Газон_сәскәһе_Илшат_Йомағолов_уҡый,_1983",1
Билгеһеҙ автор,Рәшит_Шәкүр_Сана_юлы_Хәмит_Яруллин_уҡый,1
Билгеһеҙ автор,се өлөш детдом балаһы,5
Билгеһеҙ автор,сигелгән ҡулъяулыҡ,1
Билгеһеҙ автор,"Солтанов. ""Алыҫ-алыҫҡа"" әҫәре",1
Билгеһеҙ автор,сәләм хикәйә аҙағы,1
Билгеһеҙ автор,сәләм хикәйә башы,1
Билгеһеҙ автор,Сәғит Агиш. Эш самауырҙа түгел,1
Билгеһеҙ автор,Таңсулпан_Ғарипова_АЙЛЫ_ТӨН_Олег_Ханов_уҡый,1
Билгеһеҙ автор,"Таңсулпан_Ғарипова_Еҫлегөл_Рәмзиә_Хисамова_уҡый,_2003",1
Билгеһеҙ автор,"Тимерғәле_Килмөхәмәтов_Исмегөл_Минзәлә_Хәйруллина_уҡый,_2005",1
Билгеһеҙ автор,"Тимерғәле_Килмөхәмәтов_Йәнкиҫәк_Наилә_Ғәләүетдинова_уҡый,_1994",1
Билгеһеҙ автор,Тәнзилә_Дәүләтбирҙина_Тирмә_Миңзәлә_Хәйруллина_уҡый_,1
Билгеһеҙ автор,"у Сиражетдиновтың ""Батырҙарҙы яу тыуҙыра"" хикәйәһе",1
Билгеһеҙ автор,убыр баш,1
Билгеһеҙ автор,фаҡил_мырҙаҡаев_ҡояшлы_сәскәләр_аҙағы,1
Билгеһеҙ автор,фаҡил_мырҙаҡаев_ҡояшлы_сәскәләр_башы,1
