message_id,date,url,local_path,filename,title,author,reader,genre,year,duration,language,file_size,mime_type,source
757,2025-10-24T16:21:30+00:00,https://t.me/bashaudiokitap/757,books\Динис_Бүләков_Оса_ҡыр_ҡаҙҙары_Хәким_Хәйретд.mp3,Динис_Бүләков_Оса_ҡыр_ҡаҙҙары_Хәким_Хәйретд.mp3,Динис_Бүләков_Оса_ҡыр_ҡаҙҙары_Хәким_Хәйретд,,,,,,,4417605,audio/mpeg,"audio_tags, filename"
754,2025-10-19T12:09:49+00:00,https://t.me/bashaudiokitap/754,books\Тәнзилә_Дәүләтбирҙина_Тирмә_Миңзәлә_Хәйруллина_уҡый_.mp3,Тәнзилә_Дәүләтбирҙина_Тирмә_Миңзәлә_Хәйруллина_уҡый_.mp3,Тәнзилә_Дәүләтбирҙина_Тирмә_Миңзәлә_Хәйруллина_уҡый_,,,,,,,38761578,audio/mpeg,"audio_tags, filename"
752,2025-10-16T15:23:48+00:00,https://t.me/bashaudiokitap/752,books\Рәшит_Шәкүр_Сана_юлы_Хәмит_Яруллин_уҡый.mp3,Рәшит_Шәкүр_Сана_юлы_Хәмит_Яруллин_уҡый.mp3,Рәшит_Шәкүр_Сана_юлы_Хәмит_Яруллин_уҡый,,,,,,,38167240,audio/mpeg,"audio_tags, filename"
751,2025-10-16T15:22:39+00:00,https://t.me/bashaudiokitap/751,,,,,,,,,,,,none
750,2025-10-15T10:01:38+00:00,https://t.me/bashaudiokitap/750,"books\Нәжиә_Игеҙйәнова_,,Туй_күлдәге,,_Илһөйәр_Ғәзетдинова_уҡый_.mp3","Нәжиә_Игеҙйәнова_,,Туй_күлдәге,,_Илһөйәр_Ғәзетдинова_уҡый_.mp3","Нәжиә_Игеҙйәнова_,,Туй_күлдәге,,_Илһөйәр_Ғәзетдинова_уҡый_",,,,,,,57571413,audio/mpeg,"audio_tags, filename"
749,2025-10-15T09:59:43+00:00,https://t.me/bashaudiokitap/749,,,,,,,,,,,,none
748,2025-10-14T07:57:56+00:00,https://t.me/bashaudiokitap/748,books\Динис_Исламов_Оҙатыу_Наилә_Ғәләүетдинова_уҡ.mp3,Динис_Исламов_Оҙатыу_Наилә_Ғәләүетдинова_уҡ.mp3,Динис_Исламов_Оҙатыу_Наилә_Ғәләүетдинова_уҡ,,,,,,,5246757,audio/mpeg,"audio_tags, filename"
747,2025-10-14T07:57:14+00:00,https://t.me/bashaudiokitap/747,,,"ыу"" хикәйәһе.",,,,,,,,,text
746,2025-10-12T05:12:29+00:00,https://t.me/bashaudiokitap/746,books\3_Шамил_Хажиәхмәтов_Йәнтөйәккә_юл_хикәйәһе_3_сө_ө.mp3,3_Шамил_Хажиәхмәтов_Йәнтөйәккә_юл_хикәйәһе_3_сө_ө.mp3,3_Шамил_Хажиәхмәтов_Йәнтөйәккә_юл_хикәйәһе_3_сө_ө,,,,,,,4679109,audio/mpeg,"audio_tags, filename"
745,2025-10-12T05:12:01+00:00,https://t.me/bashaudiokitap/745,books\2_Шамил_Хажиәхмәтов_Йәнтөйәккә_юл_хикәйәһе_2_се_ө.mp3,2_Шамил_Хажиәхмәтов_Йәнтөйәккә_юл_хикәйәһе_2_се_ө.mp3,2_Шамил_Хажиәхмәтов_Йәнтөйәккә_юл_хикәйәһе_2_се_ө,,,,,,,4059189,audio/mpeg,"audio_tags, filename"
744,2025-10-12T05:10:38+00:00,https://t.me/bashaudiokitap/744,books\1_Шамил_Хажиәхмәтов_Йәнтөйәккә_юл_хикәйәһе_1_се_ө.mp3,1_Шамил_Хажиәхмәтов_Йәнтөйәккә_юл_хикәйәһе_1_се_ө.mp3,1_Шамил_Хажиәхмәтов_Йәнтөйәккә_юл_хикәйәһе_1_се_ө,,,,,,,3548421,audio/mpeg,"audio_tags, filename"
743,2025-10-10T07:12:25+00:00,https://t.me/bashaudiokitap/743,books\әсир 3 өлөш.mp3,әсир 3 өлөш.mp3,әсир 3 өлөш,,,,,,,28780668,audio/mpeg,"audio_tags, filename"
742,2025-10-10T07:10:42+00:00,https://t.me/bashaudiokitap/742,books\әсир 2 өлөш.mp3,әсир 2 өлөш.mp3,әсир 2 өлөш,,,,,,,35327581,audio/mpeg,"audio_tags, filename"
741,2025-10-10T07:08:45+00:00,https://t.me/bashaudiokitap/741,books\әсир 1 өлөш.mp3,әсир 1 өлөш.mp3,"Әбүзәров. ""Әсир"" әҫәренән өҙөк",,,,,,,34408906,audio/mpeg,"audio_tags, filename, text"
740,2025-10-09T13:27:34+00:00,https://t.me/bashaudiokitap/740,books\ҡунаҡ малай 5.mp3,ҡунаҡ малай 5.mp3,ҡунаҡ малай 5,,,,,,,30269439,audio/mpeg,"audio_tags, filename"
739,2025-10-09T13:12:41+00:00,https://t.me/bashaudiokitap/739,books\ҡунаҡ малай 4.mp3,ҡунаҡ малай 4.mp3,ҡунаҡ малай 4,,,,,,,31270033,audio/mpeg,"audio_tags, filename"
738,2025-10-09T13:06:29+00:00,https://t.me/bashaudiokitap/738,books\ҡунаҡ малай 3.mp3,ҡунаҡ малай 3.mp3,ҡунаҡ малай 3,,,,,,,32014000,audio/mpeg,"audio_tags, filename"
