author,book,records
Абдулхаҡ Игебаев,Гумер юлы,1
Абдулхаҡ Игебаев,Курай,2
Абдулхаҡ Игебаев,Тыуган ер,1
Абдулхаҡ Игебаев,"Һай, тыуған ер, ғәзиз ер!",1
Абдулхаҡ Игебаев,"Һау булығыҙ, аҡҡоштар",1
Абдулхаҡ Игебаев,Әсә күңеле,1
Азат Каримов,Тыуған илем,1
Акмулла Камалетдинов,Башкортостан,2
Альфия Асадуллина,Башҡортостан флагы,1
Аҡмулла,"Башҡорттарым, уҡыу кәрәк!",2
Баязит Бикбай,Ер (отрывок из поэмы),1
Баязит Бикбай,Туган тел,1
Вахитова Светлана,Билдәһеҙ һалдат ҡәбере,2
Гайнан Амири,Ана йореге,1
Гариф Гумер,Башҡортостанға,1
Гульфия Юнусова,Байрам,1
Гульфия Юнусова,Башкортостан,3
Гульфия Юнусова,Табын,1
Гүзәл Ситдиҡова,Ғаилә байрамы,1
Гүзәл Ситдиҡова,"Әй ашыҡтың ,әсәй",1
З. Кутлугильдина,Олатайым ветеран,1
Зульфия Ханнанова,Мин иланым,1
Зәйнәб Биишева,Башҡорт теле,5
Зәйнәб Биишева,Дан һиңә тыуған илем,1
Кадим Аралбай,Башкортостан— аҡ тирмәләр иле,1
Кәтибә Кинйәбулатова,Барыһы бар,1
Кәтибә Кинйәбулатова,Әсә күңеле,1
Кәтибә Кинйәбулатова,Өҙөлгән сәскә үҫмәй,1
Лилия Сакмар,Батырлык,1
М. Иксанов,Усым,1
Мостай Кәрим,Акмуллага,1
Мостай Кәрим,Билдәһеҙ һалдат,4
Мостай Кәрим,"Бөтәһе лә ябай, асыҡ…",1
Мостай Кәрим,Ләйсән ямғыры,1
Мостай Кәрим,"Мин фронтҡа китәм, иптәштәр!",3
Мостай Кәрим,"Рус түгелмен, ләкин россиян мин",1
Мостай Кәрим,Сәсән,1
Мостай Кәрим,"Тупрағым, һауам, һыуҙарым",1
Мостай Кәрим,Улмасбай мажаралары,1
Мостай Кәрим,Уҡытыусыма,2
Мостай Кәрим,Ҡабаланма ҡартлыҡ,1
Мостай Кәрим,Ҡайын япрағы тураһында,5
Мостай Кәрим,Ҡоштар осорам,1
Мостай Кәрим,Ҡыш килгәс,1
Мостай Кәрим,Үҙемә әйткән һүҙ,1
Мостай Кәрим,Әнием чирләгәндә,1
Мостай Кәрим,Өсөнсө көн тоташ ҡар яуа,1
Мәлих Харис,Хат,2
Мәүлит Ямалетдин,Туғыҙынсы май,1
Р.Лоҡманов,Өләсәйҙән бер һабаҡ,1
Р.Ниғмәти,Нимә ул Ватан,1
Равиль Нигматуллин,Башкортостан,1
Равиль Нигматуллин,Тыуған ерем,1
Рамиль Янбеков,"Мәңге йәшә, Башҡортостан!",1
Рауил Бикбаев,Вокзал (отрывок из поэмы),1
Рауил Бикбаев,Иң беренсе мөғжизә,2
Рауил Бикбаев,Сәскәтөбәк,1
Рауил Бикбаев,Халҡыма хат,1
Рафаэль Сафин,Тол ҡатындар һәм аяҡһыҙҙар бейеүе,1
Рафаэль Сафин,Торналар осканда,1
Рафаэль Сафин,Ҡыр ҡаҙҙары,4
Рашит Шакур,"Ерем, илем, телем",1
Ринат Хәйри,Бәхәс,1
Риф Мифтахов,Бергә йыйһаң,2
Руфина Байназарова,Мин үҙемде яратам,1
Рәйсә Абдуллина,Әсәйемә,1
Рәми Ғарипов,Башҡорт теле,3
Рәми Ғарипов,Егерме йыл үткәс,1
Рәми Ғарипов,Инәкәйем! Мин алдараҡ китһәм,1
Рәми Ғарипов,Иртә,1
Рәми Ғарипов,Йырҙарыма ҡайтам,1
Рәми Ғарипов,Курай,1
Рәми Ғарипов,Сыйырсыҡ,2
Рәми Ғарипов,Тейен,1
Рәми Ғарипов,Тыуған тел,9
Рәми Ғарипов,Яндырылған хаттар,1
Рәсимә Ураҡсина,Башкортостан - баш илем,1
Рәсимә Ураҡсина,Йыхандагы бишегем,1
Рәсимә Ураҡсина,Әсәй,1
Салавата Абузара,Уфа,1
Салауат Юлаев,Тыуған ил,1
Салауат Юлаев,Тыуған илем,1
Салауат Юлаев,Уралым,2
Сафуан Әлибаев,Турғай,2
Тимер Арыҫлан,Рәхмәт әсәйҙәргә,1
Ф.Туғыҙбаева,Башкортостан,2
Ф.Туғыҙбаева,Кремль,2
Ф.Туғыҙбаева,Әсә зары,1
Фания Чанышева,Ана хаты,1
Фәүзиә Рәхимғолова,Матур менән көслө,2
Фәүзиә Рәхимғолова,Олатайым,1
Хәниф Кәрим,Түктермәгез күҙ йәшкәйен,1
Шәихзада Бабич,Ал данур сәсхалҡыңа,1
Шәихзада Бабич,Кышкы юлда,1
Шәихзада Бабич,Халҡым өсөн,2
Шәихзада Бабич,"Эй,китап!",1
Эдгар Вильданов,Театр,1
Әнгам Атнабаев,Кара икмәк,1
Әсхәт Әхмәл-Хужа,Әсәйемә,1
