Автор,Название (наше),Заголовок на Wikisource,URL,Качество совпадения
Мостай Кәрим,Ҡайын япрағы тураһында,,,не найдено в категории
Рәми Ғарипов,Курай,,,не найдено в категории
Мостай Кәрим,Билдәһеҙ һалдат,,,не найдено в категории
Мостай Кәрим,Ләйсән ямғыры,,,не найдено в категории
Абдулхаҡ Игебаев,Гумер юлы,,,не найдено в категории
Фания Чанышева,Ана хаты,,,не найдено в категории
Кадим Аралбай,Башкортостан— аҡ тирмәләр иле,,,не найдено в категории
Аҡмулла,"Башҡорттарым уҡыу кәрәк, уҡыу кәрәк",,,не найдено в категории
Эдгар Вильданов,Театр,,,не найдено в категории
Р.Ниғмәти,Нимә ул Ватан?,,,не найдено в категории
Ф.Туғыҙбаева,Әсә зары,,,не найдено в категории
Сафуан Әлибаев,Турғай,,,не найдено в категории
Ф.Туғыҙбаева,Кремль,,,не найдено в категории
Ф.Туғыҙбаева,Кремль,,,не найдено в категории
Равиль Нигматуллин,Тыуған ерем,Тыуған ерем. Илмир Миһранов,https://wikisource.org/wiki/%D0%A2%D1%8B%D1%83%D2%93%D0%B0%D0%BD_%D0%B5%D1%80%D0%B5%D0%BC._%D0%98%D0%BB%D0%BC%D0%B8%D1%80_%D0%9C%D0%B8%D2%BB%D1%80%D0%B0%D0%BD%D0%BE%D0%B2,совпадение только по названию
Кәтибә Кинйәбулатова,Өҙөлгән сәскә үҫмәй,,,не найдено в категории
Назар Нажми,Ватан,,,не найдено в категории
Рәсимә Ураҡсина,Йыхандагы бишегем,,,не найдено в категории
Рәми Ғарипов,Тыуған тел,,,не найдено в категории
З. Кутлугильдина,Олатайым ветеран,,,не найдено в категории
Мостай Кәрим,"Тупрағым, һауам, һыуҙарым",,,не найдено в категории
Рафаэль Сафин,Ҡыр ҡаҙҙары,,,не найдено в категории
Руфина Байназарова,Мин үҙемде яратам,,,не найдено в категории
Мостай Кәрим,Сәсән,,,не найдено в категории
Рәми Ғарипов,Тыуған тел,,,не найдено в категории
Мостай Кәрим,Ҡабаланма ҡартлыҡ,,,не найдено в категории
Рафаэль Сафин,Ҡыр ҡаҙҙары,,,не найдено в категории
М. Иксанов,Усым,,,не найдено в категории
